Game Date: 2026-08-27,Our Team: CB Argentona,Opponent: CB Barberà
Period,Timestamp,Slot,Player,Possession State,Action,Zone,Result,Duration(s),Paint Touch,Fastbreak,Crunch Time
"Q1","18:05:15","Team","Team","offense","Opponent Def Rebound","None","Loss",7.7,"No","No","No"
"Q1","18:05:28","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",11.5,"No","No","No"
"Q1","18:05:29","Team","Team","defense","Opponent Off Reb","None","Loss",12.2,"No","No","No"
"Q1","18:06:01","1","#23","defense","Substitution","None","Slot 1: Out #23 / In #7",19,"No","No","No"
"Q1","18:06:10","2","#9","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q1","18:06:24","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",20.2,"No","No","No"
"Q1","18:06:25","Team","Team","defense","Opponent Off Reb","None","Loss",21.4,"No","No","No"
"Q1","18:06:27","Team","Team","defense","Opponent RIM Shot","RIM","Miss",11.3,"Yes","No","No"
"Q1","18:06:30","2","#9","defense","Def Rebound","None","Success",14,"No","No","No"
"Q1","18:06:38","2","#9","offense","Assist","None","To ##8",3.8,"No","Yes","No"
"Q1","18:06:38","3","#8","offense","C3 Shot","C3","Make",3.8,"No","No","No"
"Q1","18:08:43","1","#7","defense","Personal Foul","None","Foul #1",4.7,"No","No","No"
"Q1","18:08:50","4","#13","defense","Deflection","None","Success",4.7,"No","No","No"
"Q1","18:09:01","Team","Team","defense","Opponent Turnover","None","Unforced",4.7,"No","No","No"
"Q1","18:09:29","2","#9","offense","Assist","None","To ##8",4.2,"Yes","Yes","No"
"Q1","18:09:29","3","#8","offense","RIM Shot","RIM","Make",4.2,"No","No","No"
"Q1","18:09:39","Team","Team","defense","Opponent Turnover","None","Unforced",4.3,"No","No","No"
"Q1","18:09:57","5","#16","offense","Substitution","None","Slot 5: Out #16 / In #35",0,"No","No","No"
"Q1","18:10:08","3","#8","offense","Substitution","None","Slot 3: Out #8 / In #18",0,"No","No","No"
"Q1","18:10:23","2","#9","offense","RIM Shot","RIM","Miss",10.9,"Yes","No","No"
"Q1","18:10:23","Team","Team","offense","Opponent Def Rebound","None","Loss",11.3,"No","No","No"
"Q1","18:10:37","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",11.6,"No","No","No"
"Q1","18:10:43","2","#9","defense","Def Rebound","None","Success",16.7,"No","No","No"
"Q1","18:10:48","1","#7","offense","Turnover (Live)","None","Loss",3.7,"No","No","No"
"Q1","18:10:49","Team","Team","defense","Opponent RIM Shot","RIM","Make",1.1,"Yes","Yes","No"
"Q1","18:11:10","4","#13","offense","Opponent Foul","None","Success",4.2,"No","No","No"
"Q1","18:11:30","4","#13","offense","FT","None","Miss",4.2,"No","No","No"
"Q1","18:11:31","4","#13","offense","FT","None","Make",4.2,"No","No","No"
"Q1","18:11:47","2","#9","defense","Deflection","None","Success",10.4,"No","No","No"
"Q1","18:12:14","1","#7","defense","Deflection","None","Success",0,"No","No","No"
"Q1","18:12:33","Team","Team","defense","Opponent MR Shot","MR","Make",0,"No","Yes","No"
"Q1","18:12:40","1","#7","offense","MR Shot","MR","Miss",2.7,"No","Yes","No"
"Q1","18:12:46","4","#13","offense","Off Rebound","None","Success",7.2,"No","No","No"
"Q1","18:12:49","4","#13","offense","RIM Shot","RIM","Make",10.9,"Yes","No","No"
"Q1","18:12:59","Team","Team","defense","Opponent RIM Shot","RIM","Make",4.8,"Yes","Yes","No"
"Q1","18:13:19","2","#9","offense","C3 Shot","C3","Miss",9.9,"No","No","No"
"Q1","18:13:25","4","#13","offense","Off Rebound","None","Success",9.9,"No","No","No"
"Q1","18:13:37","2","#9","offense","Substitution","None","Slot 2: Out #9 / In #8",10,"No","No","No"
"Q1","18:14:03","2","#8","offense","C3 Shot","C3","Make",0,"No","Yes","No"
"Q1","18:14:25","2","#8","defense","Deflection","None","Success",6.6,"No","No","No"
"Q1","18:14:49","Team","Team","defense","Turnover (Dead)","None","Violation",24,"No","No","No"
"Q1","18:14:59","5","#35","offense","Substitution","None","Slot 5: Out #35 / In #11",0,"No","No","No"
"Q1","18:15:22","3","#18","offense","Turnover (Dead)","None","Loss",0,"No","No","No"
"Q1","18:15:33","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",6.9,"No","Yes","No"
"Q1","18:15:36","Team","Team","defense","Opponent Off Reb","None","Loss",8.7,"No","No","No"
"Q1","18:15:59","3","#18","defense","Substitution","None","Slot 3: Out #18 / In #23",18.2,"No","No","No"
"Q1","18:16:11","Team","Team","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q1","18:16:11","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q1","18:16:23","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q1","18:17:16","5","#11","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q1","18:17:17","5","#11","offense","FT","None","Make",10,"No","No","No"
"Q1","18:17:17","5","#11","offense","FT","None","Miss",10,"No","No","No"
"Q1","18:17:18","Team","Team","offense","Opponent Def Rebound","None","Loss",10,"No","No","No"
"Q1","18:17:28","Team","Team","defense","Opponent C3 Shot","C3","Make",7.8,"No","Yes","No"
"Q1","18:17:57","4","#13","offense","Substitution","None","Slot 4: Out #13 / In #17",10.6,"No","No","No"
"Q1","18:18:04","5","#11","offense","ATB3 Shot","ATB3","Make",10.6,"No","No","No"
"Q1","18:18:06","Team","Team","defense","Opponent RIM Shot","RIM","Make",0,"Yes","Yes","No"
"Q1","18:18:15","3","#23","offense","Turnover (Dead)","None","Loss",4.7,"No","No","No"
"Q1","18:18:22","1","#7","defense","Substitution","None","Slot 1: Out #7 / In #24",0,"No","No","No"
"Q1","18:18:34","5","#11","defense","Deflection","None","Success",0,"No","No","No"
"Q1","18:18:42","Team","Team","defense","Opponent RIM Shot","RIM","Miss",0,"Yes","Yes","No"
"Q1","18:18:42","2","#8","defense","Block","None","Success",0,"No","No","No"
"Q1","18:18:44","Team","Team","defense","Opponent Off Reb","None","Loss",0,"No","No","No"
"Q1","18:19:05","Team","Team","defense","Opponent RIM Shot","RIM","Miss",10,"Yes","No","No"
"Q1","18:19:06","5","#11","defense","Def Rebound","None","Success",10,"No","No","No"
"Q1","18:19:14","2","#8","offense","Assist","None","To ##17",5.5,"Yes","Yes","No"
"Q1","18:19:14","4","#17","offense","RIM Shot","RIM","Make",5.5,"No","No","No"
"Q2","18:20:16","Team","Team","defense","Period Change","None","Started Quarter 2",0,"No","No","No"
"Q2","18:21:38","1","#24","defense","Substitution","None","Slot 1: Out #24 / In #7",0,"No","No","No"
"Q2","18:21:40","4","#17","defense","Substitution","None","Slot 4: Out #17 / In #24",0,"No","No","No"
"Q2","18:21:44","5","#11","defense","Substitution","None","Slot 5: Out #11 / In #16",0,"No","No","No"
"Q2","18:21:52","1","#7","defense","Substitution","None","Slot 1: Out #7 / In #17",0,"No","No","No"
"Q2","18:21:59","4","#24","defense","Steal","None","Success",3.6,"No","No","No"
"Q2","18:22:04","4","#24","offense","Assist","None","To ##23",3.1,"Yes","Yes","No"
"Q2","18:22:04","3","#23","offense","RIM Shot","RIM","Make",3.1,"No","No","No"
"Q2","18:22:13","Team","Team","defense","Opponent C3 Shot","C3","Make",5,"No","Yes","No"
"Q2","18:22:22","4","#24","offense","Assist","None","To ##8",1.7,"Yes","Yes","No"
"Q2","18:22:22","2","#8","offense","RIM Shot","RIM","Make",1.7,"No","No","No"
"Q2","18:22:34","2","#8","defense","Substitution","None","Slot 2: Out #8 / In #9",7,"No","No","No"
"Q2","18:23:05","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",14,"No","No","No"
"Q2","18:23:09","5","#16","defense","Def Rebound","None","Success",14,"No","No","No"
"Q2","18:23:28","2","#9","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q2","18:23:52","2","#9","offense","MR Shot","MR","Make",10,"No","No","No"
"Q2","18:23:53","Team","Team","defense","Opponent RIM Shot","RIM","Make",0,"Yes","Yes","No"
"Q2","18:24:06","2","#9","offense","Turnover (Live)","None","Loss",7.2,"No","No","No"
"Q2","18:24:12","1","#17","defense","Personal Foul","None","Foul #1",3.3,"No","No","No"
"Q2","18:24:34","Team","Team","defense","Opponent MR Shot","MR","Make",3.3,"No","Yes","No"
"Q2","18:24:42","5","#16","offense","RIM Shot","RIM","Miss",3.8,"Yes","Yes","No"
"Q2","18:24:45","Team","Team","offense","Opponent Def Rebound","None","Loss",5.9,"No","No","No"
"Q2","18:25:01","4","#24","defense","Steal","None","Success",7.3,"No","No","No"
"Q2","18:25:17","4","#24","offense","Substitution","None","Slot 4: Out #24 / In #13",1.1,"No","No","No"
"Q2","18:25:19","Team","Team","offense","Opponent Foul","None","Success",1.1,"No","No","No"
"Q2","18:25:29","2","#9","offense","MR Shot","MR","Miss",1.1,"No","Yes","No"
"Q2","18:25:30","Team","Team","offense","Opponent Def Rebound","None","Loss",1.1,"No","No","No"
"Q2","18:25:42","Team","Team","defense","Opponent RIM Shot","RIM","Miss",9.8,"Yes","No","No"
"Q2","18:25:43","4","#13","defense","Def Rebound","None","Success",11.3,"No","No","No"
"Q2","18:27:34","1","#17","offense","Substitution","None","Slot 1: Out #17 / In #7",13.3,"No","No","No"
"Q2","18:27:39","3","#23","offense","Substitution","None","Slot 3: Out #23 / In #8",13.3,"No","No","No"
"Q2","18:27:43","5","#16","offense","MR Shot","MR","Miss",13.3,"No","No","No"
"Q2","18:27:44","Team","Team","offense","Opponent Def Rebound","None","Loss",13.3,"No","No","No"
"Q2","18:27:56","1","#7","defense","Personal Foul","None","Foul #2",7.4,"No","No","No"
"Q2","18:28:10","Team","Team","defense","Opponent RIM Shot","RIM","Miss",15.3,"Yes","No","No"
"Q2","18:28:10","4","#13","defense","Block","None","Success",15.3,"No","No","No"
"Q2","18:28:13","4","#13","defense","Def Rebound","None","Success",17.4,"No","No","No"
"Q2","18:28:16","3","#8","offense","RIM Shot","RIM","Miss",2.6,"Yes","Yes","No"
"Q2","18:28:17","Team","Team","offense","Opponent Def Rebound","None","Loss",3.5,"No","No","No"
"Q2","18:28:23","Team","Team","defense","Opponent Turnover","None","Unforced",4,"No","No","No"
"Q2","18:28:32","5","#16","offense","Substitution","None","Slot 5: Out #16 / In #35",0,"No","No","No"
"Q2","18:29:21","1","#7","offense","ATB3 Shot","ATB3","Make",0,"No","Yes","No"
"Q2","18:29:25","Team","Team","defense","Opponent PAINT Shot","PAINT","Miss",0.1,"Yes","Yes","No"
"Q2","18:29:27","4","#13","defense","Def Rebound","None","Success",1.8,"No","No","No"
"Q2","18:29:44","2","#9","offense","Opponent Foul","None","Success",7.8,"No","No","No"
"Q2","18:30:07","3","#8","offense","ATB3 Shot","ATB3","Make",7.8,"No","Yes","No"
"Q2","18:30:12","1","#7","defense","Deflection","None","Success",1.3,"No","No","No"
"Q2","18:30:20","2","#9","defense","Steal","None","Success",7.4,"No","No","No"
"Q2","18:30:31","2","#9","offense","Opponent Foul","None","Success",4.3,"No","No","No"
"Q2","18:30:45","2","#9","offense","FT","None","Miss",4.3,"No","No","No"
"Q2","18:30:58","2","#9","offense","FT","None","Make",4.3,"No","No","No"
"Q2","18:31:11","3","#8","defense","Steal","None","Success",7.8,"No","No","No"
"Q2","18:31:20","2","#9","offense","Turnover (Live)","None","Loss",7.9,"No","No","No"
"Q2","18:31:27","4","#13","defense","Personal Foul","None","Foul #1",1.8,"No","No","No"
"Q2","18:31:43","2","#9","defense","Steal","None","Success",1.8,"No","No","No"
"Q2","18:32:02","2","#9","offense","Opponent Foul","None","Success",2.9,"No","No","No"
"Q2","18:32:11","2","#9","offense","FT","None","Make",2.9,"No","No","No"
"Q2","18:32:23","2","#9","offense","FT","None","Make",2.9,"No","No","No"
"Q2","18:32:45","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",14.8,"No","No","No"
"Q2","18:32:48","2","#9","defense","Def Rebound","None","Success",17,"No","No","No"
"Q2","18:32:54","2","#9","offense","RIM Shot","RIM","Miss",5.6,"Yes","Yes","No"
"Q2","18:32:54","Team","Team","offense","Opponent Block","None","Success",5.6,"Yes","Yes","No"
"Q2","18:32:56","Team","Team","offense","Opponent Def Rebound","None","Loss",6.4,"No","No","No"
"Q2","18:33:17","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",17.9,"No","No","No"
"Q2","18:33:20","Team","Team","defense","Opponent Off Reb","None","Loss",20,"No","No","No"
"Q2","18:33:34","4","#13","defense","Substitution","None","Slot 4: Out #13 / In #11",11.8,"No","No","No"
"Q2","18:33:45","2","#9","defense","Substitution","None","Slot 2: Out #9 / In #24",11.8,"No","No","No"
"Q2","18:34:00","3","#8","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q2","18:34:09","Team","Team","defense","Opponent RIM Shot","RIM","Miss",10,"Yes","No","No"
"Q2","18:34:09","2","#24","defense","Block","None","Success",10,"No","No","No"
"Q2","18:34:12","Team","Team","defense","Opponent Off Reb","None","Loss",10,"No","No","No"
"Q2","18:34:18","Team","Team","defense","Opponent RIM Shot","RIM","Make",10,"Yes","No","No"
"Q2","18:34:23","1","#7","offense","Turnover (Live)","None","Loss",1,"No","No","No"
"Q2","18:34:45","4","#11","defense","Steal","None","Success",4.9,"No","No","No"
"Q2","18:34:50","4","#11","offense","RIM Shot","RIM","Miss",4.6,"Yes","Yes","No"
"Q2","18:34:51","2","#24","offense","Off Rebound","None","Success",5.7,"No","No","No"
"Q2","18:34:54","2","#24","offense","RIM Shot","RIM","Make",10.6,"Yes","No","No"
"Q2","18:35:06","Team","Team","defense","Opponent RIM Shot","RIM","Miss",7.6,"Yes","Yes","No"
"Q2","18:35:06","5","#35","defense","Block","None","Success",7.6,"No","No","No"
"Q2","18:35:07","Team","Team","defense","Opponent Off Reb","None","Loss",8.4,"No","No","No"
"Q2","18:35:26","Team","Team","defense","Opponent Turnover","None","Unforced",13.3,"No","No","No"
"Q2","18:36:14","2","#24","offense","Opponent Foul","None","Success",5.5,"No","No","No"
"Q2","18:37:01","2","#24","offense","FT","None","Miss",5.5,"No","No","No"
"Q2","18:37:13","2","#24","offense","FT","None","Miss",5.5,"No","No","No"
"Q2","18:37:13","Team","Team","offense","Opponent Def Rebound","None","Loss",5.5,"No","No","No"
"Q2","18:37:41","5","#35","defense","Personal Foul","None","Foul #1",10,"No","No","No"
"Q2","18:37:41","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q2","18:37:49","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q2","18:38:02","Team","Team","defense","Opponent FT Miss","None","Loss",10,"No","No","No"
"Q2","18:38:05","4","#11","defense","Def Rebound","None","Success",10,"No","No","No"
"Q2","18:38:25","1","#7","offense","Assist","None","To ##11",16.1,"Yes","No","No"
"Q2","18:38:25","4","#11","offense","RIM Shot","RIM","Make",16.1,"No","No","No"
"Q2","18:38:40","4","#11","defense","Deflection","None","Success",8.8,"No","No","No"
"Q2","18:38:43","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",11.9,"No","No","No"
"Q2","18:38:55","1","#7","offense","PAINT Shot","PAINT","Miss",7.1,"Yes","Yes","No"
"Q2","18:38:56","Team","Team","offense","Opponent Def Rebound","None","Loss",7.8,"No","No","No"
"Q2","18:39:19","5","#35","defense","Personal Foul","None","Foul #2",10,"No","No","No"
"Q2","18:39:30","5","#35","defense","Substitution","None","Slot 5: Out #35 / In #23",10,"No","No","No"
"Q2","18:39:32","Team","Team","defense","Opponent FT Miss","None","Loss",10,"No","No","No"
"Q2","18:39:39","Team","Team","defense","Opponent FT Miss","None","Loss",10,"No","No","No"
"Q2","18:39:40","5","#23","defense","Def Rebound","None","Success",10,"No","No","No"
"Q2","18:39:55","5","#23","offense","Assist","None","To ##7",10.4,"No","No","No"
"Q2","18:39:55","1","#7","offense","ATB3 Shot","ATB3","Make",10.4,"No","No","No"
"Q2","18:39:59","5","#23","defense","Steal","None","Success",0.6,"No","No","No"
"Q2","18:40:10","2","#24","offense","RIM Shot","RIM","Make",6.8,"Yes","Yes","No"
"Q2","18:40:26","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",10.3,"No","No","No"
"Q2","18:40:29","2","#24","defense","Def Rebound","None","Success",12.3,"No","No","No"
"Q2","18:40:44","2","#24","offense","Opponent Foul","None","Success",3.3,"No","No","No"
"Q2","18:40:54","1","#7","offense","Substitution","None","Slot 1: Out #7 / In #9",3.3,"No","No","No"
"Q2","18:40:59","3","#8","offense","Substitution","None","Slot 3: Out #8 / In #18",3.3,"No","No","No"
"Q2","18:41:01","2","#24","offense","FT","None","Miss",3.3,"No","No","No"
"Q2","18:41:08","2","#24","offense","FT","None","Miss",3.3,"No","No","No"
"Q2","18:41:09","Team","Team","offense","Opponent Def Rebound","None","Loss",3.3,"No","No","No"
"Q2","18:41:27","3","#18","defense","Personal Foul","None","Foul #2",10,"No","No","No"
"Q2","18:41:54","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q2","18:41:57","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q2","18:42:06","2","#24","offense","Assist","None","To ##9",1.9,"Yes","Yes","No"
"Q2","18:42:06","1","#9","offense","RIM Shot","RIM","Make",1.9,"No","No","No"
"Q2","18:42:20","4","#11","defense","Personal Foul","None","Foul #1",6.8,"No","No","No"
"Q2","18:42:26","4","#11","defense","Substitution","None","Slot 4: Out #11 / In #13",6.8,"No","No","No"
"Q2","18:42:40","Team","Team","defense","Opponent FT Miss","None","Loss",6.8,"No","No","No"
"Q2","18:42:52","Team","Team","defense","Opponent FT Score","None","Loss",6.8,"No","No","No"
"Q2","18:43:08","1","#9","offense","RIM Shot","RIM","Make",7.6,"Yes","Yes","No"
"Q2","18:43:25","Team","Team","defense","Opponent C3 Shot","C3","Miss",11.2,"No","No","No"
"Q2","18:43:29","4","#13","defense","Def Rebound","None","Success",14.7,"No","No","No"
"Q2","18:44:14","5","#23","offense","RIM Shot","RIM","Make",10,"Yes","No","No"
"Q2","18:44:30","5","#23","defense","Steal","None","Success",10.5,"No","No","No"
"Q2","18:45:20","1","#9","offense","ATB3 Shot","ATB3","Make",7.1,"No","Yes","No"
"Q3","18:54:08","Team","Team","defense","Period Change","None","Started Quarter 3",0,"No","No","No"
"Q3","18:54:34","5","#23","defense","Substitution","None","Slot 5: Out #23 / In #7",0,"No","No","No"
"Q3","18:54:36","1","#9","defense","Substitution","None","Slot 1: Out #9 / In #23",0,"No","No","No"
"Q3","18:54:38","2","#24","defense","Substitution","None","Slot 2: Out #24 / In #9",0,"No","No","No"
"Q3","18:54:40","3","#18","defense","Substitution","None","Slot 3: Out #18 / In #8",0,"No","No","No"
"Q3","18:54:42","4","#13","defense","Substitution","None","Slot 4: Out #13 / In #24",0,"No","No","No"
"Q3","18:54:45","5","#7","defense","Substitution","None","Slot 5: Out #7 / In #16",0,"No","No","No"
"Q3","18:56:18","5","#16","offense","Turnover (Live)","None","Loss",14.9,"No","No","No"
"Q3","18:56:21","Team","Team","defense","Opponent RIM Shot","RIM","Make",2.9,"Yes","Yes","No"
"Q3","18:56:31","5","#16","offense","Turnover (Live)","None","Loss",4.9,"No","No","No"
"Q3","18:56:51","Team","Team","defense","Opponent ATB3 Shot","ATB3","Make",17.1,"No","No","No"
"Q3","18:57:20","4","#24","offense","RIM Shot","RIM","Miss",0,"Yes","Yes","No"
"Q3","18:57:21","Team","Team","offense","Opponent Def Rebound","None","Loss",0,"No","No","No"
"Q3","18:57:23","4","#24","defense","Steal","None","Success",2.1,"No","No","No"
"Q3","18:57:37","4","#24","offense","Opponent Foul","None","Success",3.5,"No","No","No"
"Q3","18:58:06","1","#23","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q3","18:58:21","3","#8","offense","C3 Shot","C3","Miss",10,"No","No","No"
"Q3","18:58:22","Team","Team","offense","Opponent Def Rebound","None","Loss",10,"No","No","No"
"Q3","18:58:29","3","#8","defense","Personal Foul","None","Foul #2",2.5,"No","No","No"
"Q3","18:58:47","2","#9","defense","Deflection","None","Success",13.8,"No","No","No"
"Q3","18:58:53","Team","Team","defense","Opponent ATB3 Shot","ATB3","Miss",18.3,"No","No","No"
"Q3","18:58:58","1","#23","defense","Def Rebound","None","Success",22.7,"No","No","No"
"Q3","18:59:24","2","#9","offense","Assist","None","To ##8",20.2,"No","No","No"
"Q3","18:59:24","3","#8","offense","C3 Shot","C3","Make",20.2,"No","No","No"
"Q3","18:59:30","1","#23","defense","Steal","None","Success",2.5,"No","No","No"
"Q3","18:59:35","5","#16","offense","Turnover (Live)","None","Loss",3.7,"No","No","No"
"Q3","19:00:06","5","#16","defense","Steal","None","Success",9.8,"No","No","No"
"Q3","19:00:19","2","#9","offense","Assist","None","To ##23",8.6,"No","No","No"
"Q3","19:00:19","1","#23","offense","ATB3 Shot","ATB3","Make",8.6,"No","No","No"
"Q3","19:00:26","Team","Team","defense","Opponent PAINT Shot","PAINT","Miss",3.1,"Yes","Yes","No"
"Q3","19:00:27","4","#24","defense","Def Rebound","None","Success",4.2,"No","No","No"
"Q3","19:00:48","5","#16","offense","Opponent Foul","None","Success",3.4,"No","No","No"
"Q3","19:02:51","5","#16","offense","FT","None","Miss",3.4,"No","No","No"
"Q3","19:03:04","5","#16","offense","FT","None","Make",3.4,"No","No","No"
"Q3","19:03:39","Team","Team","defense","Opponent RIM Shot","RIM","Make",19.5,"Yes","No","No"
"Q3","19:03:50","4","#24","offense","ATB3 Shot","ATB3","Miss",5.9,"No","Yes","No"
"Q3","19:03:51","Team","Team","offense","Opponent Def Rebound","None","Loss",6.8,"No","No","No"
"Q3","19:04:10","4","#24","defense","Personal Foul","None","Foul #1",6.9,"No","No","No"
"Q3","19:04:12","5","#16","defense","Substitution","None","Slot 5: Out #16 / In #13",6.9,"No","No","No"
"Q3","19:04:17","1","#23","defense","Substitution","None","Slot 1: Out #23 / In #7",6.9,"No","No","No"
"Q3","19:04:33","3","#8","defense","Steal","None","Success",14.3,"No","No","No"
"Q3","19:04:39","3","#8","offense","Assist","None","To ##24",3.5,"Yes","Yes","No"
"Q3","19:04:39","4","#24","offense","RIM Shot","RIM","Make",3.5,"No","No","No"
"Q3","19:04:47","2","#9","defense","Steal","None","Success",4.2,"No","No","No"
"Q3","19:04:55","3","#8","offense","ATB3 Shot","ATB3","Miss",6.5,"No","Yes","No"
"Q3","19:05:00","5","#13","offense","Off Rebound","None","Success",10.6,"No","No","No"
"Q3","19:05:13","5","#13","offense","Opponent Foul","None","Success",10,"No","No","No"
"Q3","19:05:20","4","#24","offense","Turnover (Live)","None","Loss",10,"No","No","No"
"Q3","19:05:30","1","#7","defense","Personal Foul","None","Foul #3",6,"No","No","No"
"Q3","19:05:45","Team","Team","defense","Opponent FT Score","None","Loss",6,"No","No","No"
"Q3","19:05:57","Team","Team","defense","Opponent FT Score","None","Loss",6,"No","No","No"
"Q3","19:06:08","5","#13","offense","Turnover (Dead)","None","Loss",6.6,"No","No","No"
"Q3","19:06:33","5","#13","defense","Personal Foul","None","Foul #2",10,"No","No","No"
"Q3","19:06:49","Team","Team","defense","Opponent FT Miss","None","Loss",10,"No","No","No"
"Q3","19:07:05","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q3","19:07:13","2","#9","offense","Assist","None","To ##8",2.6,"Yes","Yes","No"
"Q3","19:07:13","3","#8","offense","RIM Shot","RIM","Make",2.6,"No","No","No"
"Q3","19:07:54","1","#7","defense","Personal Foul","None","Foul #4",10,"No","No","No"
"Q3","19:07:55","Team","Team","defense","Opponent FT Miss","None","Loss",10,"No","No","No"
"Q3","19:08:08","Team","Team","defense","Opponent FT Score","None","Loss",10,"No","No","No"
"Q3","19:08:29","5","#13","offense","RIM Shot","RIM","Miss",14.1,"Yes","No","No"
"Q3","19:08:30","Team","Team","offense","Opponent Def Rebound","None","Loss",15.2,"No","No","No"
"Q3","19:08:42","5","#13","defense","Personal Foul","None","Foul #3",3.1,"No","No","No"
"Q3","19:08:50","4","#24","defense","Substitution","None","Slot 4: Out #24 / In #35",3.1,"No","No","No"
"Q3","19:09:06","Team","Team","defense","Opponent FT Score","None","Loss",3.1,"No","No","No"
